TRADE_DATE,HOUR,MARKET,RES_TYPE,TYPE,VALUE
2023-01-13,7,RTD,LESR,SOC,8154.134083333333
2023-01-13,8,RTD,LESR,SOC,7037.174
2023-01-13,9,RTD,LESR,SOC,6675.672416666667
2023-01-13,10,RTD,LESR,SOC,7012.933249999999
2023-01-13,11,RTD,LESR,SOC,8089.378833333333
2023-01-13,12,RTD,LESR,SOC,9456.083083333333
2023-01-13,13,RTD,LESR,SOC,11140.324833333332
2023-01-13,14,RTD,LESR,SOC,12571.346083333332
2023-01-13,15,RTD,LESR,SOC,13288.57125
2023-01-13,16,RTD,LESR,SOC,13596.517833333333
2023-01-13,17,RTD,LESR,SOC,12950.3165
2023-01-13,18,RTD,LESR,SOC,11546.151166666668
2023-01-13,19,RTD,LESR,SOC,9650.335000000001
2023-01-13,20,RTD,LESR,SOC,7786.244083333334
2023-01-13,21,RTD,LESR,SOC,6863.631333333334
2023-01-13,22,RTD,LESR,SOC,6311.680416666666
2023-01-13,23,RTD,LESR,SOC,6063.078166666666
2023-01-13,24,RTD,LESR,SOC,5990.428666666667
2023-01-14,1,RTD,LESR,SOC,6061.715666666667
2023-01-14,2,RTD,LESR,SOC,6122.80775
2023-01-14,3,RTD,LESR,SOC,6319.740583333333
2023-01-14,4,RTD,LESR,SOC,6606.7269166666665
2023-01-14,5,RTD,LESR,SOC,6853.31275
2023-01-14,6,RTD,LESR,SOC,7002.568416666666
2023-01-14,7,RTD,LESR,SOC,7060.559333333334
2023-01-14,8,RTD,LESR,SOC,7114.973166666667
2023-01-14,9,RTD,LESR,SOC,6911.256833333333
2023-01-14,10,RTD,LESR,SOC,6122.606083333333
2023-01-14,11,RTD,LESR,SOC,5470.868916666666
2023-01-14,12,RTD,LESR,SOC,5210.463083333333
2023-01-14,13,RTD,LESR,SOC,4846.8938333333335
2023-01-14,14,RTD,LESR,SOC,4383.7328333333335
2023-01-14,15,RTD,LESR,SOC,4393.904083333334
2023-01-14,16,RTD,LESR,SOC,4576.473583333333
2023-01-14,17,RTD,LESR,SOC,4647.2655
2023-01-14,18,RTD,LESR,SOC,4181.925916666666
2023-01-14,19,RTD,LESR,SOC,3801.469833333333
2023-01-14,20,RTD,LESR,SOC,3481.97875
2023-01-14,21,RTD,LESR,SOC,3315.898333333333
2023-01-14,22,RTD,LESR,SOC,3290.72025
2023-01-14,23,RTD,LESR,SOC,3367.152583333333
2023-01-14,24,RTD,LESR,SOC,3571.0735833333333
2023-01-15,1,RTD,LESR,SOC,3640.5014166666665
2023-01-15,2,RTD,LESR,SOC,3611.5735
2023-01-15,3,RTD,LESR,SOC,3875.3494166666665
2023-01-15,4,RTD,LESR,SOC,4187.938083333333
2023-01-15,5,RTD,LESR,SOC,4269.2805
2023-01-15,6,RTD,LESR,SOC,4222.938833333334
2023-01-15,7,RTD,LESR,SOC,4251.888333333333
2023-01-15,8,RTD,LESR,SOC,4135.176333333334
2023-01-15,9,RTD,LESR,SOC,3694.4418333333338
2023-01-15,10,RTD,LESR,SOC,3261.8806666666665
2023-01-15,11,RTD,LESR,SOC,4047.4986666666664
2023-01-15,12,RTD,LESR,SOC,5437.148416666667
2023-01-15,13,RTD,LESR,SOC,6545.253833333333
2023-01-15,14,RTD,LESR,SOC,7045.041916666666
2023-01-15,15,RTD,LESR,SOC,6532.128333333334
2023-01-15,16,RTD,LESR,SOC,6223.367583333333
2023-01-15,17,RTD,LESR,SOC,6285.63825
2023-01-15,18,RTD,LESR,SOC,5761.342416666666
2023-01-15,19,RTD,LESR,SOC,4802.892583333333
2023-01-15,20,RTD,LESR,SOC,4126.824416666666
2023-01-15,21,RTD,LESR,SOC,3947.5911666666666
2023-01-15,22,RTD,LESR,SOC,3960.914083333333
2023-01-15,23,RTD,LESR,SOC,4163.602416666667
2023-01-15,24,RTD,LESR,SOC,4414.8865
2023-01-16,1,RTD,LESR,SOC,4722.420999999999
2023-01-16,2,RTD,LESR,SOC,5280.336
2023-01-16,3,RTD,LESR,SOC,5623.773249999999
2023-01-16,4,RTD,LESR,SOC,6085.732
2023-01-16,5,RTD,LESR,SOC,6374.269333333334
2023-01-16,6,RTD,LESR,SOC,6517.250499999999
2023-01-16,7,RTD,LESR,SOC,5820.530416666667
2023-01-16,8,RTD,LESR,SOC,4655.224
2023-01-16,9,RTD,LESR,SOC,3950.5641666666666
2023-01-16,10,RTD,LESR,SOC,4592.9875
2023-01-16,11,RTD,LESR,SOC,6140.659166666667
2023-01-16,12,RTD,LESR,SOC,7835.758833333333
2023-01-16,13,RTD,LESR,SOC,9621.705083333332
2023-01-16,14,RTD,LESR,SOC,11120.184083333334
2023-01-16,15,RTD,LESR,SOC,12156.651416666668
2023-01-16,16,RTD,LESR,SOC,12361.974333333334
2023-01-16,17,RTD,LESR,SOC,11848.567583333332
2023-01-16,18,RTD,LESR,SOC,10247.799583333333
2023-01-16,19,RTD,LESR,SOC,8086.451083333333
2023-01-16,20,RTD,LESR,SOC,6578.345499999999
2023-01-16,21,RTD,LESR,SOC,5775.154750000001
2023-01-16,22,RTD,LESR,SOC,5452.016500000001
2023-01-16,23,RTD,LESR,SOC,5240.702666666667
2023-01-16,24,RTD,LESR,SOC,5352.15325
2023-01-17,1,RTD,LESR,SOC,5572.50125
2023-01-17,2,RTD,LESR,SOC,5510.846916666666
2023-01-17,3,RTD,LESR,SOC,5717.918833333333
2023-01-17,4,RTD,LESR,SOC,6069.737583333333
2023-01-17,5,RTD,LESR,SOC,6066.247333333333
2023-01-17,6,RTD,LESR,SOC,5765.479916666667
2023-01-17,7,RTD,LESR,SOC,4124.940916666666
2023-01-17,8,RTD,LESR,SOC,2293.7860833333334
2023-01-17,9,RTD,LESR,SOC,2587.58975
2023-01-17,10,RTD,LESR,SOC,4100.849166666667
2023-01-17,11,RTD,LESR,SOC,5802.9127499999995
2023-01-17,12,RTD,LESR,SOC,8425.706
2023-01-17,13,RTD,LESR,SOC,10595.65825
2023-01-17,14,RTD,LESR,SOC,12082.485166666665
2023-01-17,15,RTD,LESR,SOC,13068.566916666668
2023-01-17,16,RTD,LESR,SOC,13374.822916666666
2023-01-17,17,RTD,LESR,SOC,12213.602250000002
2023-01-17,18,RTD,LESR,SOC,10639.69225
2023-01-17,19,RTD,LESR,SOC,8241.039166666667
2023-01-17,20,RTD,LESR,SOC,6259.684333333334
2023-01-17,21,RTD,LESR,SOC,4774.4366666666665
2023-01-17,22,RTD,LESR,SOC,3906.6873333333333
2023-01-17,23,RTD,LESR,SOC,3556.0574166666665
2023-01-17,24,RTD,LESR,SOC,3623.7099166666667
2023-01-18,1,RTD,LESR,SOC,3857.9345833333336
2023-01-18,2,RTD,LESR,SOC,4234.836833333334
2023-01-18,3,RTD,LESR,SOC,4785.9811666666665
2023-01-18,4,RTD,LESR,SOC,5303.783
2023-01-18,5,RTD,LESR,SOC,5422.828166666667
2023-01-18,6,RTD,LESR,SOC,4912.284583333333
2023-01-18,7,RTD,LESR,SOC,3782.629833333334
2023-01-18,8,RTD,LESR,SOC,2368.70725
2023-01-18,9,RTD,LESR,SOC,2560.755833333333
2023-01-18,10,RTD,LESR,SOC,3907.321
2023-01-18,11,RTD,LESR,SOC,5884.750499999999
2023-01-18,12,RTD,LESR,SOC,8322.591
2023-01-18,13,RTD,LESR,SOC,10874.603833333333
2023-01-18,14,RTD,LESR,SOC,12817.533833333333
2023-01-18,15,RTD,LESR,SOC,13750.353416666667
2023-01-18,16,RTD,LESR,SOC,14169.36875
2023-01-18,17,RTD,LESR,SOC,13790.206916666668
2023-01-18,18,RTD,LESR,SOC,12002.926916666665
2023-01-18,19,RTD,LESR,SOC,9897.675000000001
2023-01-18,20,RTD,LESR,SOC,7593.23425
2023-01-18,21,RTD,LESR,SOC,5903.095833333333
2023-01-18,22,RTD,LESR,SOC,4841.15975
2023-01-18,23,RTD,LESR,SOC,4490.324333333333
2023-01-18,24,RTD,LESR,SOC,4444.960083333333
2023-01-19,1,RTD,LESR,SOC,4539.312083333333
2023-01-19,2,RTD,LESR,SOC,4824.348333333333
2023-01-19,3,RTD,LESR,SOC,5286.8425
2023-01-19,4,RTD,LESR,SOC,5269.436083333333
2023-01-19,5,RTD,LESR,SOC,5681.883416666667
2023-01-19,6,RTD,LESR,SOC,5553.988916666666
2023-01-19,7,RTD,LESR,SOC,4534.303666666667
2023-01-19,8,RTD,LESR,SOC,3314.063
2023-01-19,9,RTD,LESR,SOC,3872.781833333333
2023-01-19,10,RTD,LESR,SOC,4761.471083333333
2023-01-19,11,RTD,LESR,SOC,6410.921916666666
2023-01-19,12,RTD,LESR,SOC,8321.707416666666
2023-01-19,13,RTD,LESR,SOC,10439.88825
2023-01-19,14,RTD,LESR,SOC,12077.319833333333
2023-01-19,15,RTD,LESR,SOC,12983.088916666668
2023-01-19,16,RTD,LESR,SOC,13277.437333333333
2023-01-19,17,RTD,LESR,SOC,13015.417000000001
2023-01-19,18,RTD,LESR,SOC,11610.164916666667
2023-01-19,19,RTD,LESR,SOC,9809.115666666667
2023-01-19,20,RTD,LESR,SOC,8480.429750000001
2023-01-19,21,RTD,LESR,SOC,7389.076083333333
2023-01-19,22,RTD,LESR,SOC,6073.912583333334
2023-01-19,23,RTD,LESR,SOC,5424.669333333333
2023-01-19,24,RTD,LESR,SOC,5341.470666666667
2023-01-20,1,RTD,LESR,SOC,5345.844416666667
2023-01-20,2,RTD,LESR,SOC,5458.3365
2023-01-20,3,RTD,LESR,SOC,5831.418333333334
2023-01-20,4,RTD,LESR,SOC,6351.654916666666
2023-01-20,5,RTD,LESR,SOC,6532.648583333333
2023-01-20,6,RTD,LESR,SOC,5867.618750000001
2023-01-20,7,RTD,LESR,SOC,4531.839166666667
2023-01-20,8,RTD,LESR,SOC,2955.6354166666665
2023-01-20,9,RTD,LESR,SOC,2884.3139166666665
2023-01-20,10,RTD,LESR,SOC,3989.9244166666667
2023-01-20,11,RTD,LESR,SOC,5569.1343333333325
2023-01-20,12,RTD,LESR,SOC,7820.914583333334
2023-01-20,13,RTD,LESR,SOC,10308.453416666667
2023-01-20,14,RTD,LESR,SOC,12342.624416666666
2023-01-20,15,RTD,LESR,SOC,13554.148083333333
2023-01-20,16,RTD,LESR,SOC,14095.918666666666
2023-01-20,17,RTD,LESR,SOC,13878.612599999999
2023-01-20,18,RTD,LESR,SOC,12480.423083333333
2023-01-20,19,RTD,LESR,SOC,10544.873583333332
2023-01-20,20,RTD,LESR,SOC,8683.431583333333
2023-01-20,21,RTD,LESR,SOC,7139.52725
2023-01-20,22,RTD,LESR,SOC,6112.086583333334
2023-01-20,23,RTD,LESR,SOC,5372.3185
2023-01-20,24,RTD,LESR,SOC,5341.7405
2023-01-21,1,RTD,LESR,SOC,4919.999333333333
2023-01-21,2,RTD,LESR,SOC,4431.432333333333
